prediction_id,request_date,market,model_version,guarantee_price_source,make,model,model_year,fuel_type,mileage_km,power_kw,guarantee_price_dkk,robot_price_dkk,sold_price_dkk,highest_bid_dkk
PRED-0001,2026-05-06,DK,m-2026-05,robot,Tesla,Model 3,2021,EV,96000,239,214000,214000,192000,190000
PRED-0002,2026-05-07,DK,m-2026-05,robot,Tesla,Model 3,2020,EV,122000,239,198000,198000,170000,168000
PRED-0003,2026-05-08,DK,m-2026-05,robot,Tesla,Model Y,2022,EV,88000,378,284000,284000,257000,255000
PRED-0004,2026-05-09,DK,m-2026-05,analyst,Polestar,2,2021,EV,94000,300,219000,244000,218000,216000
PRED-0005,2026-05-10,DK,m-2026-05,analyst,Volkswagen,ID.4,2021,EV,104000,150,193000,204000,190000,189000
PRED-0006,2026-05-11,DK,m-2026-05,analyst,Kia,EV6,2022,EV,83000,168,254000,266000,255000,254000
PRED-0007,2026-05-12,DK,m-2026-05,analyst,Nissan,Leaf,2019,EV,115000,110,108000,114000,109000,108000
PRED-0008,2026-05-14,DK,m-2026-05,robot,Tesla,Model S,2020,EV,138000,350,263000,263000,229000,226000
PRED-0009,2026-05-15,DK,m-2026-05,analyst,BMW,i4,2022,EV,81000,250,294000,307000,296000,295000
PRED-0010,2026-05-16,DK,m-2026-05,analyst,Hyundai,Ioniq 5,2022,EV,86000,168,248000,259000,249000,248000
PRED-0011,2026-05-17,DK,m-2026-05,analyst,Tesla,Model 3,2022,EV,32000,239,261000,265000,263000,262000
PRED-0012,2026-05-18,DK,m-2026-05,robot,Tesla,Model Y,2023,EV,24000,378,343000,343000,338000,337000
PRED-0013,2026-05-19,DK,m-2026-05,analyst,Volkswagen,ID.4,2022,EV,41000,150,242000,244000,241000,240000
PRED-0014,2026-05-20,DK,m-2026-05,analyst,Polestar,2,2023,EV,28000,300,313000,318000,315000,314000
PRED-0015,2026-05-21,DK,m-2026-05,analyst,Kia,EV6,2023,EV,26000,168,315000,318000,316000,315000
PRED-0016,2026-05-22,DK,m-2026-05,analyst,Nissan,Leaf,2021,EV,47000,110,136000,138000,137000,136000
PRED-0017,2026-05-23,DK,m-2026-05,analyst,BMW,i4,2023,EV,30000,250,377000,382000,376000,375000
PRED-0018,2026-05-24,DK,m-2026-05,analyst,Hyundai,Ioniq 5,2023,EV,22000,168,319000,321000,320000,319000
PRED-0019,2026-05-25,DK,m-2026-05,analyst,Volkswagen,Golf,2019,Petrol,135000,110,121000,119000,122000,121000
PRED-0020,2026-05-26,DK,m-2026-05,robot,BMW,320d,2020,Diesel,105000,140,207000,207000,204000,203000
PRED-0021,2026-05-27,DK,m-2026-05,analyst,Toyota,Corolla,2020,Hybrid,118000,90,151000,149000,152000,151000
PRED-0022,2026-05-28,DK,m-2026-05,analyst,Skoda,Octavia,2019,Diesel,142000,110,128000,126000,127000,126000
PRED-0023,2026-05-29,DK,m-2026-05,analyst,Mercedes,C220d,2020,Diesel,99000,143,238000,241000,239000,238000
PRED-0024,2026-05-30,DK,m-2026-05,analyst,Audi,A4,2019,Petrol,128000,140,181000,182000,180000,179000
PRED-0025,2026-06-01,DK,m-2026-06,analyst,Tesla,Model 3,2021,EV,91000,239,199000,218000,193000,191000
PRED-0026,2026-06-02,DK,m-2026-06,robot,Tesla,Model Y,2022,EV,97000,378,287000,287000,256000,254000
PRED-0027,2026-06-03,DK,m-2026-06,analyst,Polestar,2,2021,EV,101000,300,221000,246000,217000,215000
PRED-0028,2026-06-04,DK,m-2026-06,analyst,Volkswagen,ID.4,2021,EV,92000,150,194000,205000,192000,191000
PRED-0029,2026-06-05,DK,m-2026-06,analyst,Kia,EV6,2022,EV,89000,168,253000,267000,254000,253000
PRED-0030,2026-06-06,DK,m-2026-06,robot,Tesla,Model S,2020,EV,129000,350,269000,269000,230000,227000
PRED-0031,2026-06-07,DK,m-2026-06,analyst,Tesla,Model 3,2023,EV,21000,239,283000,288000,284000,283000
PRED-0032,2026-06-08,DK,m-2026-06,analyst,Volkswagen,ID.4,2023,EV,26000,150,283000,286000,282000,281000
PRED-0033,2026-06-09,DK,m-2026-06,analyst,Hyundai,Ioniq 5,2023,EV,19000,168,320000,323000,321000,320000
PRED-0034,2026-06-10,DK,m-2026-06,analyst,BMW,i4,2023,EV,34000,250,376000,381000,377000,376000
PRED-0035,2026-06-11,DK,m-2026-06,analyst,Volkswagen,Golf,2019,Petrol,131000,110,120000,118000,120000,119000
PRED-0036,2026-06-12,DK,m-2026-06,analyst,BMW,320d,2020,Diesel,111000,140,204000,204000,205000,204000
PRED-0037,2026-06-13,DK,m-2026-06,analyst,Toyota,Corolla,2020,Hybrid,123000,90,150000,148000,149000,148000
PRED-0038,2026-06-14,DK,m-2026-06,analyst,Skoda,Octavia,2019,Diesel,148000,110,127000,124000,128000,127000
PRED-0039,2026-06-15,DK,m-2026-06,robot,Mercedes,C220d,2020,Diesel,102000,143,239000,239000,238000,237000
PRED-0040,2026-06-16,DK,m-2026-06,analyst,Audi,A4,2019,Petrol,133000,140,180000,181000,179000,178000
PRED-0042,2026-06-18,DK,m-2026-06,analyst,Polestar,2,2022,EV,76000,300,258000,270000,254000,252000
PRED-0043,2026-06-19,DK,m-2026-06,analyst,Toyota,RAV4,2021,Hybrid,87000,131,243000,244000,244000,243000
PRED-0044,2026-06-20,DK,m-2026-06,analyst,Ford,Focus,2020,Petrol,92000,92,133000,132000,132000,131000
